Rank,Combination,F1-Score,Accuracy,Precision,Recall,Models Used
1,17_full_ensemble,0.985,98.48%,98.31%,98.70%,"(All 5) Prolog + GNN + Domain + Eligibility + Enhanced BERT"
2,15_all_neural,0.9821,98.13%,97.90%,98.53%,"(All 4 Neural) GNN + Domain + Eligibility + Enhanced BERT"
3,16_hybrid_best,0.9701,96.88%,97.23%,96.79%,"Prolog + GNN + Eligibility Predictor"
4,08_eligibility_bert,0.966,96.40%,96.26%,96.94%,"Eligibility Predictor + Enhanced BERT"
5,11_gnn_bert,0.9659,96.40%,96.61%,96.58%,"GNN + Enhanced BERT"
6,05_enhanced_bert,0.9599,95.84%,95.55%,96.44%,"Enhanced BERT (only)"
7,07_domain_bert,0.9598,95.84%,95.42%,96.55%,"Domain Classifier + Enhanced BERT"
8,13_prolog_eligibility,0.9419,94.04%,93.36%,95.03%,"Prolog + Eligibility Predictor"
9,10_gnn_eligibility,0.9388,93.69%,93.33%,94.43%,"GNN + Eligibility Predictor"
10,04_eligibility,0.9329,93.07%,92.51%,94.08%,"Eligibility Predictor (only)"
11,06_domain_eligibility,0.9317,92.93%,92.35%,94.00%,"Domain Classifier + Eligibility Predictor"
12,14_prolog_gnn,0.8872,88.43%,87.72%,89.74%,"Prolog + GNN"
13,09_gnn_domain,0.8845,88.15%,87.31%,89.62%,"GNN + Domain Classifier"
14,12_prolog_domain,0.8837,88.08%,87.41%,89.34%,"Prolog + Domain Classifier"
15,02_gnn,0.8804,87.73%,86.83%,89.27%,"GNN (only)"
16,03_domain,0.8787,87.53%,86.67%,89.10%,"Domain Classifier (only)"
17,01_prolog,0.8252,81.84%,81.87%,83.18%,"Prolog (only)"
